id,type,text
1283,R,"
>>1282
ok
tu étudies le français?"
1284,R,"
>>1283
Je l'apprends. En fait, je suis étudiant en science naturelle…"
1285,R,"
>>1284>Je l'apprends.
en cours?"
1286,R,"
>>1285
Une fois par semaine en cours."
1287,R,"
>>1286
fac ou lycée?"
1288,R,"
>>1287
Fac. 
Ben, j'ai appris le français au lycée depuis 4 ans, mais à l'instant je suis un train de suivre un cours de révision à mon université. Et toi? T'apprends des langues?"
1289,R,"
>>1288
oui anglais seulement"
1290,R,"
>>1289
Et tu penses qu'une planche est le meilleur lieu pour l'améliorer ?"
1291,R,"
>>1290
je ne veux pas parler et écrire anglais parfaitement, juste le comprendre, donc oui une planche est un bon endroit"
1292,R,"
>>1291
Je seconde. J'ai appris grâce aux planches à images et aux films."
1307,R,"
>>1292
Du coup je suis ici, mais les planches francophone meurt rapidement…
Recemment j'ai commencé à lire un peu de blabla/jeuxvidéo…"
1308,R,"
>>1307
meurent*"
1309,R,"
>>1307>j'ai commencé à lire un peu de blabla/jeuxvidéo…
erreur"
1311,R,"
>>1309
Y a des meilleures alternatives (acrimonie, cable6…) ?"
1312,R,"
>>1311
oui, et les deux que tu viens de citer sont très bien"
1314,R,"
>>1311
Underfoule."
1317,R,"
>>1314"
1334,R,"
Vive !"
1335,R,"
Y a quelqu'un?"
1337,R,"
>>1335
Moi."
1338,R,"
>>1337
Ce board n'est pas si mort alors. Je suis la parce que j'avais une réalisation récemment - je sais parler francais! Ca fait plusiers ans que j'ai decidé de l'apprendre, mais j'avais perdu la motivation apres quelque mois. Cependant, j'avais mis toutes mes jeux vidéo en francais et ils restaient comme ca meme apres avoir perdu l'interet. Sans aucun effort, mon francais ameliorait au niveau ou je peux regarder un film entiere sans sous-titres maintenant. 
Je peux meme m'exprimer plutot bien! Merci, jeux vidéo!"
1339,R,"
>>1338
Ah, félicitations ! Quels jeux vidéo préfères-tu ?"
1340,R,"
>>1339
Hmm, je ne sais pas. Puzzle, logique, stratégie… s'il faut choisir. Spacechem, par example. Les jeux de ce genre. 
Mais je suppose que c'était les jeux rpg qui m'aidaient vraiment a apprendre. C'est pas mon style de jeu preferé, mais il n'y a rien mieux qu'un jeu cinématique avec beaucoup de dialogues en voix francais si tu veux apprendre la langue. Est on peut activer les sous-titres francais en plus, on dirait que le jeu a été concu pour ca."
1342,R,"
>>1335
Oui, mais je n'ai pas rien à dire"
1362,R,"
R.I.P. /fr/"
1441,R,
1442,R,"
test"
1409,T,"
Postes tes animaux de compagnie."
1410,R,
1411,R,
1423,R,
1424,R,
1425,R,
1426,R,"
>>1425
Chats sont les vrai amis de l'homme"
1427,R,"
>>1426
Et les chattes?"
1429,R,"
>>1427
Nous ne parlons pas des chattes ici.
Jamais."
1433,R,"
>>1429
porquoi?"
1435,R,"
>>1433
Parce que nous ne les parlons pas."
1436,R,"
>>1435
tu n'es pas une personne bavard"
1448,R,"
>>1433
Parce qu'il n'a pas trempé son biscuit, encore."
1453,R,"
>>1448>3DCD"
295,T,Salut les baguettefags
296,R,
297,R,297 ba/get/
298,R,>>297badass bien ouéj
227,T,"D'après le journal  lemondehttp://xxx.lemonde.fr/pixels/article/2014/10/15/4chan-wizardchan-8chan-le-guide-des-forums-anonymes-les-plus-populaires-du-web_4505380_4408996.html Ne se prononce pas « eight chan »– que l'on pourrait confondre avec « hate chan » (« canal de la haine »), mais « infinite chan », le 8 évoquant le ruban de Mœbius. Fondé en octobre 2013 par Fredrick Brennan, 8chan a surtout connu une explosion fulgurante en septembre, au plus fort des polémiques autour du GamerGate et de la place des femmes et du discours féministe dans le jeu vidéo.A l'origine de cette popularité soudaine, l'évolution de la politique de modération de Moot, le fondateur de 4chan. D'habitude très permissif, celui-ci a commencé à faire la chasse aux messages faisant l'apologie du harcèlement et de la divulgation d'informations privées en ligne. Piqués au vif, plus d'une centaine d'internautes ont décidé de soutenir financièrement Fredrick Brennan et de migrer sur 8chan.Tandis que 4chan se retrouve rebaptisé avec mépris « halfchan » (« moitié de canal ») par ses anciens utilisateurs,le site de Brennan est devenu le nouveau temple d'un discours libertarien, avec parfois une mysogynie et un antisémitisme assumés, prompt à s'emparer d'une iconographie biblique, nazie et djihadiste présentée comme « humoristique »."
236,R,Trop extrême pour 4chan.Trop extrême pour la vie.
239,R,Wat ¯\(°_o)/¯… Il y a des gens qui lisent encore le Monde?!…
240,R,">>239Pire, un blog lemonde…"
241,R,">>239J""ai marqué 8chan je suis tombé sur ça"
877,T,"
	Je m'appelle StupidAmerican. Ma famille, on est de Arcata, California. Dans ma famille, nous sommes trois fils, ma mère et mon père. Mes grands frères s'appellent Chris et Jay. Mes parents s'appellent Theresa et Jay. Nous nous appelons nos père Bob parce que mon frère Jay.
	Ma mère a cinquante-et-un ans et mon père a cinquante-cinq ans. Je suis petit frère, j'ai vingt-six ans. Mon grand frère Jay a trente-deux ans. Mon grand frère Chris a trente ans. Mon frère Christ est roux, de taille moyenne, mince et n'est pas moche. Mon frère Jay est roux, fort, beau et n'est pas grand. Ma mère Theresa est châtain, forte, petite et n'est pas moche. Ma père Bob est petit, brun, fort et n'est pas mince. Je ne suis pas blond ni brun. Je suis fort et petit.
	Mon frère Jay aime faire la cuisine parce que Jay est un chef. Jay ne aime pas danser. Mon frère Chris aime dessiner parce que Chris est un artiste. Christ ne aime pas faire la cuisine. Ma mère aime dîner chez ses fils pour parler à ses fils. Elle ne aime pas le sport. Mon père aime la musique et le sport. Il ne aime pas parle. J'aime mon ordinateur parce que je programme. Je ne aime pas danser. 
	Pour les vacances d'été, je vais travailler beaucoup. Je aime dormir et parler mes aimes. Je ne aime pas travailler beaucoup.  Je vais au Arcata, California parce que mon ami Dylan. Nous jouons de la musique. Nous allons au Redwood parc. J'aime mon vacances parce que je vais au Arcata, California et Dylan. Je ne aime pas mon vacances parce que travailler beaucoup et je suis paresseux. 
erreurs?"
879,R,"
Un peu partout
	Je m'appelle StupidAmerican. Ma famille, on est de Arcata, en Californie. Dans ma famille, nous sommes trois fils avec ma mère et mon père. Mes grands frères s'appellent Chris et Jay. Mes parents s'appellent Theresa et Jay. Nous nous appelons nos père Bob parce que mon frère s'appelle aussi Jay.
	Ma mère a cinquante-et-un ans et mon père a cinquante-cinq ans. Je suis le plus petit frère, j'ai vingt-six ans. Mon grand frère Jay a trente-deux ans. Mon grand frère Chris a trente ans. Mon frère Chris est roux, de taille moyenne, mince et plutôt beau. Mon frère Jay est roux, fort, beau et n'est pas grand. Ma mère Theresa est châtain, forte, petite et plutôt belle. Mon père Bob est petit, brun, fort et n'est pas mince. Je ne suis ni blond ni brun. Je suis fort et petit.
	Mon frère Jay aime faire la cuisine parce que Jay est un chef cuisinier. Jay n'aime pas danser. Mon frère Chris aime dessiner parce que Chris est un artiste. Christ naime pas faire la cuisine. Ma mère aime dîner chez ses fils pour leur parler. Elle n'aime pas le sport. Mon père aime la musique et le sport. Il n'aime pas parler. J'aime mon ordinateur parce que je programme. Je n'aime pas danser. 
	Pour les vacances d'été, je vais travailler beaucoup. J'aime dormir et parler à mes ami(e)s. Je n'aime pas beaucoup travailler.  Je vais à Arcata, en Californie, parce que mon ami Dylan y vit. Nous jouons de la musique. Nous allons au Redwood parc. J'aime mes vacances parce que je vais à Arcata, en Californie et Dylan. Je n'aime pas mes vacances parce que je vais travailler beaucoup et que je suis paresseux."
894,R,"
J'ai l'impression de devoir de voir résoudre un problème de maths…>	Je m'appelle StupidAmerican. Ma famille, on est de Arcata, en Californie. Dans ma famille, nous sommes trois fils avec ma mère et mon père. Mes grands frères s'appellent Chris et Jay. Mes parents s'appellent Theresa et Jay. Nous nous appelons nos père Bob parce que mon frère s'appelle aussi Jay.
Combien de cousin y-a-t-il dans la famille?
Vous avez 1 heure"
818,T,hey /fr/which Pokémon would you fuck?
819,R,>>818Parle meilleur connard
820,R,NO I AM NOT SIMGLEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
104,T,Demandez n'importe quoi a un Algérien.
105,R,pourquoi tu detestes la France? (rentrer en Algerie negro)
107,R,>Demandez n'importe quoi a un Algérien.Non merci.
112,R,">>105Personellement, je ne deteste pas la France. Je ne sais pas pourquoi la plus part des Algériens détestent la France. Peut-être a cause de l'Islam, leur patriotisme ou leur tendance a se séparer du reste."
113,R,"Pourquoi vous revenez en France alors qu'on vous a donné votre indépendance ?Vous me faites penser à ces enfants qui pleurent pour avoir un jouet, qui le cassent dès qu'on le leur donne, et qui en demandent un autre."
118,R,">>113>Pourquoi vous revenez en France alors qu'on vous a donné votre indépendance ?a ton avis?>Vous me faites penser à ces enfants qui pleurent pour avoir un jouet, qui le cassent dès qu'on le leur donne, et qui en demandent un autre.ahcool"
119,R,"C'est désespérant, /fr/ vote /fn/"
138,R,>>119Non. Il vote aussi blanc.
166,R,>>104Tu penses quoi des arabes de France ?
253,R,"On pense qu'il faut en faire un génocide, ils ne servent à rien à part à foutre la merde. Depuis les années 1100 ils nous cassent les couilles, ça a commencé avec les croisés et c'est toujours pas fini"
255,R,">>104>Demandez n'importe quoi a un Algérien.Je vous demanderais de partir, s'il vous plait."
261,R,">>104Je suppose que tu dois être Musulman ?Si c'est le cas, je veux bien savoir ce qui vous interdit de manger du cochon.On entend tout et son contraire à ce propos, et j'aimerais bien savoir ce qu'il en est réellement."
265,R,">>261Je ne suis pas ( plus ) musulman ça fait longtemps, mais je pense que c'est peut etre a cause de certaines maladies qu'on pouvait attraper quand on en mangeait, par exemple le Ténia?"
288,R,">>104L'Algérie, c'est ton pays? Retournes-y!"
289,R,">>166ce que j'en pense…. en algérie, il y a plusieurs ethnies, pas que des arabes. je suis moitié berbere (j'ai les cheveux roux) et moitié arabe.je.. disons que je ne les aime pas et je n'aime pas mon coté arabe. ils m'ont toujours traité comme une merde a cause de mon apparence un peu blanche. je ne m'apparente pas comme kabyle, et ma mere non plus, je dis que j'ai un cote berbere parceque je lui ai posé beaucoup de questions sur ses ancetres et il y avait beaucoup de blonds, roux avec des yeux de couleur claire."
303,R,"Je suis pur Francais de souche, et quand meme:Algerie > Israel"
304,R,">>303Je pense que je vais mettre un filtre de mot just pour Algérie. Et Israel aussi, pourquoi pas."
335,R,p… ca vole pas haut ici.
340,R,"Putain, y'en à des cons.Autant j'aimes pas les Brignoles (ceux qui veulent pas s'integrer, crachent sur la France, veulent la Shakirah, toussa) autant les arabes qui veulent s'integrer et qui veulent pas foutre la merde sont libres de rester, soyez pas completement cons."
352,R,>>335et ta soeur
355,R,">>340Ahhh, j'étais sûr que mon filtre mot aller marcher et ça passe crême."
358,R,">>104Comment acceptes-tu le fais que ton pays est tout simplement à chier ? Lorsque vous  n'aurez plus de pétrole, il tombera comme un château de cartes car il n'a absolument rien derrière. Tu peux être fière d’être algérien."
359,R,">>358Ne t'inquiète pas, il a posté ça en octobre, tu peux être sûr qu'il ne repostera pas."
360,R,">>359J'avais oublié que c'était 8chan et pas 4chan, désolé."
361,R,">>360Plus qu'8chan coco, C'est 8chan >>>/fr/. Mais c'est déjà cool de passer!"
369,R,maroc is master race.
370,R,">>369On parle français ici coco, qu'est-ce que tu baves?"
385,R,>>104Rends-moi mon vélo stp
453,R,>>358Je m'en fous completement. Je vis en France. Et je n'ai jamais dit être fier d'être Algérien.
469,R,>>453Dégage de mon pays nègre.
472,R,">>288Chut Adolph, laisse le racisme pour nous,toi va gazer des juifs,ou construire un autre mur… Ou laisser une de tes connasses de député insulter la France et les français sur une chaine national…"
478,R,">>469Continue de rager, tu m'excites."
494,R,>>358>Tu peux être fière d’être algérien.>algérien>fièreEt tu peux être fièrE de moins bien parler français qu'un algérienbien ouej
520,R,>>104S'quand est-ce qu'tu crisse ton camp d'la France?
521,R,">>469Rien de plus salope qu'un Francais qui glorifie l'regime Nazi.Faut avouer, ca fait pareil ""regarde papa comme j'suis une bonne petite fille qui prends tout les 12 pouces qu'on m'offre dans l'cul"".Zero colonne, ta soeur peut bien etre enceinte d'un Marocain."
536,R,>>521Et pour quelles raisons Schlomo ?> ta soeur peut bien etre enceinte d'un Marocain.aucune chance ;^)
539,R,>>536L'vieux a traversé l'atlantique en boat pour servir de chaire a cannon durant la circonscription parce qu'l'hexagone était pas foutu d'avoir une défense respectable?On parle du pays qu'y'a quand meme fait napoléon la en plus… Honte.
540,R,">>539Hitler n'a rien fait de mal, faire la guerre contre l'allemagne était du suicide pour commencer.http://fr.wikipedia.org/wiki/Accord_Haavara"
551,R,>>540Tu dit ca comme si l'reich avait pas perdu
561,R,>>536>aucune chanceParce qu'elle est déjà enceinte de toi?
868,T,Poste ta waifu /fr/
869,R,On dit ta wakfu ici
878,R,"
Ma waifu.
votre waifu est une salaud."
880,R,"
>>878>salaud → salope
Ouais mais elle est canon."
912,R,"
Elle est Française aussi"
949,R,"
Najat."
950,R,">Waifu
On est en France bordel, ça devrait être>Fammu"
964,R,"
>>950
Par dire ""Fammu"", tu est essayer t'approprier la culture des Weeaboos. Penses à ta conduite problématique SVP."
997,R,
999,R,"
>>997
Ma waifu est la plus belle"
1000,R,"
>>999
n'est ce pas ?"
1013,R,"
Oscar douvrait être la reine de /fr/."
1205,R,"
French are the niggers of Europe"
1206,R,"
>>1000
Nice le trips"
1208,R,"
>>999
>>1000
vérifié"
1211,R,"
>>1205
In that we've got the biggest dicks, yeah"
1237,R,"
>>868"
1244,R,"
ma fammu"
1245,R,"
>>1205
pic related"
1246,R,"
>>1013>douvrait
dit comme ça, c'est sur."
1247,R,"
J'en ai même pas.>No waifu no laifu"
1248,R,"
>>1237"
1270,R,"
>>868
Joyeux anniversaire, Marion!"
1521,R,"
t"
1560,R,"
Florence en Ségolène "
1561,R,"
>>1560
Où est le son, tas de bois ?"
1562,R,"
>>1561>paroles de sketch coupées par le montage>public qui se marre>remarques de ruquier
Non ça va, merci."
393,T,"Le nouveau JVC est pourri, mais y'a pas de sites de rechange :-("
397,R,>>393JVC? On ne parle pas de jeuxvideos.com là quand même? Tu ne veux pas retourner sur 9fag?
445,R,>>393Ça.
457,R,tu me manques cisla
613,R,Respawn craint c'est chaud…
619,R,"Ca s'ecrit JCVD, espece d'abruti."
1481,R,"
>>393
Morsay, panachay et cochon grillayy, oui oui vous êtes bien en 2008"
24,T,"http://www.lemonde.fr/vous/article/2014/09/23/selon-l-unicef-pres-de-la-moitie-des-ados-francais-sont-en-etat-de-souffrance-psychologique_4492474_3238.html Près de la moitié des ados français en état de « souffrance psychologique », selon l'Unicef.  Les adolescents connaissent, en France, un mal-être dont l’ampleur frappe l’Unicef. Pour la deuxième année consécutive, le Fonds des Nations unies pour l’enfance a mené partout en France, au printemps, une vaste étude auprès des 6-18 ans, qui fait l’objet d’un rapport remis au gouvernement, mardi 23 septembre. Parmi les personnes interrogées, quelque 7000 adolescents (12-18 ans) ont évoqué leur quotidien, mais aussi leurs peines, leurs idées suicidaires et conduites addictives, « d’une ampleur inquiétante », selon l’Unicef. 43% des jeunes de 15 ans et plus seraient ainsi en « situation de souffrance psychologique ». "
29,R,"La solitude se révèle bien quand on est très entouré, des fois…"
31,R,"Ça arrive, mais est-ce que c'est un argument valable pour pourrir chez soi ? J'ai un gros doute. Un enfant sur deux n'a pas de livre chez lui dans les quartiers défavorisés : http://www.franceinfo.fr/actu/education/article/echec-scolaire-des-inegalites-tres-fortes-en-classe-et-la-maison-573345 Preuve scientifique de la nocivité de la méthode globale https://www.youtube.com/watch?v=w0h9P9bnK6A Steve Jobs Was a Low-Tech Parent : http://www.nytimes.com/2014/09/11/fashion/steve-jobs-apple-was-a-low-tech-parent.htmlPendant ce temps là, François et Manu court après les djihadistes."
32,R,>>31Bien sûr que ce n'est pas un argument valable…
33,R,">>32Bah écoute, hésite pas a aller un peu plus loin dans tes post. Parce que sinon c'est difficile de comprendre ou tu veux en venir !"
72,R,"C'est franchement inquiétant.La France est un pays de dépressifs, mais je ne pense pas que ce soit le seul. Depuis l'industrialisation et l'apparition des classes ouvrières, puis de la consommation de masse, le moral de n'importe quel être non psychopathe est destiné à pourri.Parole de dépressif, soit dit en passant.Qu'est-ce que ça va donner dans 40 ans? Quand les jeunes d'aujourd'hui seront les vieux de demain, à la tête des gouvernements?"
83,R,"Jamais deux sans trois. Incendie d'un centre de perception des impôts : jusqu'où ira la révolte fiscale ? http://www.lefigaro.fr/vox/economie/2014/10/02/31007-20141002ARTFIG00219-incendie-d-un-centre-de-perception-des-impots-jusqu-o-ira-la-revolte-fiscale.phpAh, et pour les enfants en difficultés : Najat Vallaud-Belkacem veut en finir avec le redoublement http://www.lefigaro.fr/actualite-france/2014/09/24/01016-20140924ARTFIG00408-najat-vallaud-belkacem-veut-en-finir-avec-le-redoublement.phpVoilà de quoi leur laisser encore moins de chance ainsi qu'un allez simple pour l'apprentissage. En plus ça coute cher les redoublements ! SALAUD DE PAUVRES !Je m'explique.La France est trop intelligente. Pourtant vu ce qu'elle vote, on pourrait se poser de grosses questions a ce sujet… Mais c'est vrai, les français sont trop diplômés, et ce depuis un sacré moment. 1973 très exactement.Explications dans l'excellent ""spectacle"" de Frank Lepage, si vous ne le connaissez pas, vous mérité une tape sur la truffe, vilain pépère :http://youtu.be/MgHg79PiB4s?t=2h13m48sIl faut donc pousser les enculés de pauvres/découragés/différents a ne surtout pas essayer de se rattraper quand ils sont en difficultés (certains ne pourraient pas, certes, mais d'autres peuvent). Hypocritement éviter les sorties d'écoles sans diplômes (ils finissent au RSA et on ne peut même pas les envoyer sur des chantiers, a part comme manoeuvre… les plus courageux finiront cassé a 35/40 balais après des années de restaurations acharnés) en OPTIMISANT au maximum le nombre d'apprentis ou de je ne sais quoi d'autre, qui iront gentiment combler les trous au Pole Emploi.A propos de BTP et de restauration, la prochaine fois qu'un mec vous dira qu'il n'y a pas assez de diplômés en France en prenant ces deux exemples, pétez lui a gueule a coup de parpaing de ma part."
85,R,>>83Merci rouya
86,R," Le policier sioniste Michel Thooris, organisateur du voyage de Louis Aliot en Israël, chargé de l’affaire Ulcan ? http://www.egaliteetreconciliation.fr/Le-policier-sioniste-Michel-Thooris-organisateur-du-voyage-de-Louis-Aliot-en-Israel-charge-de-l-28278.htmlhahahahahaPutain on est vraiment dans la merde…"
100,R,"En même temps, on est dans une génération sans but, on n'as pas de guerre, les idéologies tombent, la république et sa loi uniforme sont révélées comme elles le sont: Des systèmes qui ne fonctionnent que pour la norme, un système qui coupe les têtes qui dépassent, et qui renie les têtes trop basses.En même temps, vous voyez beaucoup de gens qui questionnent la république ? Nous avons été formaté de manière a penser que le gouvernement est supérieur, qu'on ne peut le changer, il serait temps de changer ça."
101,R,">>100Merde, formatés*>100e postEt pour la génération prochaine, vous pouvez vous attendre à bien Bien pire."
137,R,http://lci.tf1.fr/politique/morano-au-policier-vous-ne-me-connaissez-pas-vous-ne-regardez-8503093.htmlDe pire en pire cette vieille pute…
140,R," La pièce de BHL, ""Hôtel Europe"", s'arrête prématurément, faute de spectateurs http://www.francetvinfo.fr/culture/spectacles/la-piece-de-bhl-hotel-europe-s-arrete-prematurement-faute-de-spectateurs_719723.html>""Le moins que l'on puisse dire, c'est que c'est très calme au niveau des réservations"">Le comédien Jacques Weber avait confié au Figaro avoir perdu 30 kilos pour interpréter le rôle principal. Un régime draconien qui, finalement, n'a pas servi à grand chose."
172,R,On fonce dans le mur
882,R,"
 Caroline Fourest : “Les Femen ne sont pas nazies !” Bon, enquêtons alors… 
http://www.les-crises.fr/caroline-fourest-les-femen-ne-sont-pas-nazies-ah-bon/
Comme une petite envie de faire le ""ménage"" en France…"
883,R,"
>>882
Ah tiens il était où ce fil?"
889,R,"
>>883
Perdu sous 50 threads de cul et autres merdes inutiles.
Dommage que cette board soit un bide, j'en espérais mieux. Je sais pas vous, mais je ne connais pas un seul endroit francophone sympa ou m'exprimer."
895,R,"
>>889
Beh je suis toujours là au moins une fois tous les deux jours en tant que modo, mais je ne vais pas poster seul tout le temps! On pourrait faire la promo sur les autres planches, je sais qu'il y avait quand même un certain nombre de français sur /b/."
930,R,"
>>895
cable6.net/f"
931,R,"
>>930
Ouais, non, les français ont leur ambiance de merde assez particulière et ça tourne bien en rond. J'avais fait un sujet l'autre jour sur 8chan j'ai même pas eu une seule réponse, tout le monde se fout de ce qui se passe dehors sur ce site."
946,R,"
>>83>franck lepage
basé"
716,T,https://www.youtube.com/watch?v=xJMl8amw_7U
719,R,Quelqu'un a été payé pour faire cela.
724,R,chill pumb the eponym
965,R,"
https://www.youtube.com/watch?v=kdemFfbS5H0"
966,R,"
>>965
Waaaaa"
1465,R,"
etrangement avec baby kaka j'ai beaucoup moins de point de désaccord avec ses textes que les braillards du taupe40"
786,T,Omelette du fromage!
787,R,>>786dégage
791,R,Si bambino
804,R,"Wouldn't  it be ""Omelette au fromage""?"
806,R,">>804You're right, but that's the common mistake you do."
1567,T,"
Je n'aime pas les juifs."
1570,R,"
Tiens donc."
1576,R,"
Encore un?"
1579,R,"
>>1567
nique ta mere"
89,T,>il a voté Hollande
91,R,18 000 668 personnes ont voté Hollande.
92,R,>>89fais pas genre t'es américain Tarelouze
97,R,>>92Il l'est. Et c'est pour ça que tu ne comprends pas son mème.
129,R,Mais comment ne pas voté pour l'homme?>Le Charisme>La Prestance>La Sincérité
169,R,>>129>La Sincérité
770,T,"Yo les /fr/ dites moi , y'aurait pas un de vous qui connaitrais un bon endroit pour Toper de la weed sur nantes ?"
771,R,bumping with nude
772,R,">>770Alors autant te le dire tout de suite, la réponse prendra sûrement une semaine si elle existe. à la prochaine (parce que je ne suis pas sur Nantes)!"
2,T,"Ah, enfin un coin fr. Mais ça a l'air gravement dead 8chan, je surveille ici et masterchan depuis 2/3 jours, c'est franchement la misère. Sauf peut-être pour les réfugiés /pol/."
3,R,"Ouaip, les deux gros boards ici sont /v/ et /pol/, on verra si le soufflé retombe ou pas pour eux. En général il n'y a pas beaucoup d'imageboards qui sont très vivants."
11,R,C'est pas grave moi je me fais plaisir ici
19,R,/b/ est très active aussi. L'activité se déroule aussi sur l'irc -> #8chan sur irc.rizon.net
30,R,V'la un p'tit outil pour surveiller l'affluence des chanshttp://nnmm.nl/chanstat/
62,R,qu'est il arrivé a underfoule?
63,R,>>62la même question ici…
